我	ngo5
四角褲	sei3 gok3 fu3
四診	sei3 can2
四諦	sei3 dai3
四象	sei3 zoeng6
四輪馬車	sei3 leon4 maa5 ce1
四輪驅動	sei3 leon4 keoi1 dung6
四近	sei3 gan6
四週	sei3 zau1
四邊	sei3 bin1
四邊四便	sei3 bin1 sei3 bin6
四邊形	sei3 bin1 jing4
四郊	sei3 gaau1
四部曲	sei3 bou6 kuk1
四鄰	sei3 leon4
四鄰八捨	sei3 leon4 baat3 se2
四重唱	sei3 cung4 coeng3
四重奏	sei3 cung4 zau3
四野	sei3 je5
四門轎車	sei3 mun4 giu2 ce1
四靈	sei3 ling4
四面楚歌	sei3 min6 co2 go1
四面體	sei3 min6 tai2
四項基本原則	sei3 hong6 gei1 bun2 jyun4 zak1
四頭肌	sei3 tau4 gei1
四驅車	sei3 keoi1 ce1
四體不勤五穀不分	sei3 tai2 bat1 kan4 ng5 guk1 bat1 fan1
回交	wui4 gaau1
回京	wui4 ging1
回信地址	wui4 seon3 dei6 zi2
回充	wui4 cung1
回光反照	wui4 gwong1 faan2 ziu3
回光返照	wui4 gwong1 faan2 ziu3
回光鏡	wui4 gwong1 geng3
回函	wui4 haam4
回力球	wui4 lik6 kau4
回南天	wui4 naam4 tin1
回口	wui4 hau2
回吐	wui4 tou3
回味無窮	wui4 mei6 mou4 kung4
回單	wui4 daan1
回單兒	wui4 daan1 ji4
回嗔作喜	wui4 can1 zok3 hei2
回回青	wui4 wui4 cing1
回執	wui4 zap1
回報率	wui4 bou3 leot6
回墨印	wui4 mak6 jan3
回天	wui4 tin1
回天乏術	wui4 tin1 fat6 seot6
回天無力	wui4 tin1 mou4 lik6
回奉	wui4 fung6
回娘家	wui4 noeng4 gaa1
回家吃自己	wui4 gaa1 hek3 zi6 gei2
回彈	wui4 daan6
回形針	wui4 jing4 zam1
回折	wui4 zit3
回折格子	wui4 zit3 gaak3 zi2
回拜	wui4 baai3
回採	wui4 coi2
回描	wui4 miu4
回擊	wui4 gik1
回收價值	wui4 sau1 gaa3 zik6
回收筒	wui4 sau1 tung2
回放	wui4 fong3
回教徒	wui4 gaau3 tou4
回文	wui4 man4
回旋	wui4 syun4
回旋加速器	wui4 syun4 gaa1 cuk1 hei3
回旋曲	wui4 syun4 kuk1
回旋餘地	wui4 syun4 jyu4 dei6
回族	wui4 zuk6
回族人	wui4 zuk6 jan4
回暖	wui4 nyun5
回條	wui4 tiu4
回樽	wui4 zeon1
回歸年	wui4 gwai1 nin4
回歸熱	wui4 gwai1 jit6
回歸祖國	wui4 gwai1 zou2 gwok3
回歸線	wui4 gwai1 sin3
回民	wui4 man4
回民區	wui4 man4 keoi1
回氣	wui4 hei3
回沖	wui4 cung1
回波	wui4 bo1
回游	wui4 jau4
回溯	wui4 sou3
回潮	wui4 ciu4
回火	wui4 fo2
回爐	wui4 lou4
回甘	wui4 gam1
回甜	wui4 tim4
回目	wui4 muk6
回眸一笑	wui4 mau4 jat1 siu3
回祿	wui4 luk6
回祿之災	wui4 luk6 zi1 zoi1
回稟	wui4 ban2
回穩	wui4 wan2
回空	wui4 hung1
回籠	wui4 lung4
回絕	wui4 zyut6
回繞	wui4 jiu5
回老家	wui4 lou5 gaa1
回耗	wui4 hou3
回聲	wui4 seng1
回聲定位	wui4 sing1 ding6 wai2
回腸	wui4 coeng4
回腸盪氣	wui4 coeng4 dong6 hei3
回航	wui4 hong4
回良玉	wui4 loeng4 juk6
回蕩	wui4 dong6
回見	wui4 gin3
回視	wui4 si6
回訪	wui4 fong2
回話	wui4 waa6
回請	wui4 ceng2
回購	wui4 gau3
回跌	wui4 dit3
回路	wui4 lou6
回車鍵	wui4 ce1 gin6
回軟	wui4 jyun5
回轉	wui4 zyun2
回轉壽司	wui4 zyun2 sau6 si1
回還	wui4 waan4
回郵信封	wui4 jau4 seon3 fung1
回鍋	wui4 wo1
回鍋油	wui4 wo1 jau4
回鍋肉	wui4 wo1 juk6
回鑾	wui4 lyun4
回門	wui4 mun4
回電	wui4 din6
回電話	wui4 din6 waa2
回響	wui4 hoeng2
回頁首	wui4 jip6 sau2
回頭客	wui4 tau4 haak3
回頭見	wui4 tau4 gin3
回顧展	wui4 gu3 zin2
回顧歷史	wui4 gu3 lik6 si2
回馬槍	wui4 maa5 coeng1
回駁	wui4 bok3
回魂	wui4 wan4
回鶻	wui4 wat6
囟腦門	seon3 nou5 mun4
囟門	seon3 mun4
因人成事	jan1 jan4 sing4 si6
因住嚟	jan1 zyu6 lei4
因公	jan1 gung1
因公殉職	jan1 gung1 seon1 zik1
因利乘便	jan1 lei6 sing4 bin6
因加得減	jan1 gaa1 dak1 gaam2
因噎廢食	jan1 jit3 fai3 sik6
因地制宜	jan1 dei6 zai3 ji4
因如此	jan1 jyu4 ci2
因孕而婚	jan1 jan6 ji4 fan1
因式	jan1 sik1
因式分解	jan1 sik1 fan1 gaai2
因循	jan1 ceon4
因循守舊	jan1 ceon4 sau2 gau6
因愛成恨	jan1 oi3 sing4 han6
因故	jan1 gu3
因數	jan1 sou3
因斯布魯克	jan1 si1 bou3 lou5 hak1
因果報應	jan1 gwo2 bou3 jing3
因果律	jan1 gwo2 leot6
因果關係	jan1 gwo2 gwaan1 hai6
因父之名	jan1 fu6 zi1 ming4
因特網	jan1 dak6 mong5
因特網提供商	jan1 dak6 mong5 tai4 gung1 soeng1
因特網聯通	jan1 dak6 mong5 lyun4 tung1
因紐特	jan1 nau2 dak6
因紐特人	jan1 nau2 dak6 jan4
因襲	jan1 zaap6
因變量	jan1 bin3 loeng6
因陀羅	jan1 to4 lo4
因陋就簡	jan1 lau6 zau6 gaan2
囤	tyun4
囤積	tyun4 zik1
囤積居奇	tyun4 zik1 geoi1 kei4
囧	gwing2
囪	cung1
囪門	cung1 mun4
囫	fat1
囫圇	fat1 leon4
囫圇吞下	fat1 leon4 tan1 haa6
囫圇吞棗	fat1 leon4 tan1 zou2
困倦	kwan3 gyun6
困厄	kwan3 aak1
困守	kwan3 sau2
困惑不解	kwan3 waak6 bat1 gaai2
困獸猶鬥	kwan3 sau3 jau4 dau3
困窘	kwan3 kwan3
困難在於	kwan3 naan4 zoi6 jyu1
困難重重	kwan3 naan4 cung4 cung4
困頓	kwan3 deon6
囷	kwan1
囹圄	ling4 jyu5
囹圉	ling4 jyu5
固件	gu3 gin2
固化	gu3 faa3
固原	gu3 jyun4
固原地區	gu3 jyun4 dei6 keoi1
固原市	gu3 jyun4 si5
固執己見	gu3 zap1 gei2 gin3
固始	gu3 ci2
固始縣	gu3 ci2 jyun6
固守	gu3 sau2
固安	gu3 on1
固安縣	gu3 on1 jyun6
固定詞組	gu3 ding6 ci4 zou2
固定資產	gu3 ding6 zi1 caan2
固定電話	gu3 ding6 din6 waa2
固定點	gu3 ding6 dim2
固形物	gu3 jing4 mat6
固態	gu3 taai3
固有名詞	gu3 jau5 ming4 ci4
固有詞	gu3 jau5 ci4
固步自封	gu3 bou6 zi6 fung1
固網電信	gu3 mong5 din6 seon3
固若金湯	gu3 joek6 gam1 tong1
固醇	gu3 seon4
固鎮	gu3 zan3
固鎮縣	gu3 zan3 jyun6
固陽縣	gu3 joeng4 jyun6
固體溶體	gu3 tai2 jung4 tai2
固體熱容激光器	gu3 tai2 jit6 jung4 gik1 gwong1 hei3
固體物理	gu3 tai2 mat6 lei5
固體物質	gu3 tai2 mat6 zat1
圂	wan6
圃	pou2
圃鵐	pou2 mou4
圄	jyu5
圇	leon4
圈內	hyun1 noi6
圈圈	hyun1 hyun1
圈圈點點	hyun1 hyun1 dim2 dim2
圈地	hyun1 dei6
圈地運動	hyun1 dei6 wan6 dung6
圈數	hyun1 sou3
圈狀物	hyun1 zong6 mat6
圈肥	gyun6 fei4
圈點	hyun1 dim2
圈ａ	hyun1 ei1
圉人	jyu5 jan4
圉限	jyu5 haan6
國中	gwok3 zung1
國中之國	gwok3 zung1 zi1 gwok3
國事訪問	gwok3 si6 fong2 man6
國交	gwok3 gaau1
國偵局	gwok3 zing1 guk6
國債	gwok3 zaai3
國內外	gwok3 noi6 ngoi6
國內市場	gwok3 noi6 si5 coeng4
國內戰爭	gwok3 noi6 zin3 zang1
國內生產毛額	gwok3 noi6 sang1 caan2 mou4 ngaak6
國內生產總值	gwok3 noi6 sang1 caan2 zung2 zik6
國內線	gwok3 noi6 sin3
國內貿易	gwok3 noi6 mau6 jik6
國共內戰	gwok3 gung6 noi6 zin3
國共兩黨	gwok3 gung6 loeng5 dong2
國共合作	gwok3 gung6 hap6 zok3
國務卿	gwok3 mou6 hing1
國務委員	gwok3 mou6 wai2 jyun4
國務次卿	gwok3 mou6 ci3 hing1
國務總理	gwok3 mou6 zung2 lei5
國務長官	gwok3 mou6 zoeng2 gun1
國務院台灣事務辦公室	gwok3 mou6 jyun2 toi4 waan1 si6 mou6 baan6 gung1 sat1
國務院國有資產監督管理委員會	gwok3 mou6 jyun2 gwok3 jau5 zi1 caan2 gaam1 duk1 gun2 lei5 wai2 jyun4 wui2
國務院新聞辦公室	gwok3 mou6 jyun2 san1 man4 baan6 gung1 sat1
國務院法制局	gwok3 mou6 jyun2 faat3 zai3 guk6
國勢日衰	gwok3 sai3 jat6 seoi1
國土安全	gwok3 tou2 on1 cyun4
國土安全局	gwok3 tou2 on1 cyun4 guk6
國土安全部	gwok3 tou2 on1 cyun4 bou6
國土資源部	gwok3 tou2 zi1 jyun4 bou6
國境	gwok3 ging2
國境線	gwok3 ging2 sin3
國外內	gwok3 ngoi6 noi6
國外市場	gwok3 ngoi6 si5 coeng4
國大黨	gwok3 daai6 dong2
國奧會	gwok3 ou3 wui2
國姓	gwok3 sing3
國姓鄉	gwok3 sing3 hoeng1
國子監	gwok3 zi2 gaam1
國字口面	gwok3 zi6 hau2 min6
國字臉	gwok3 zi6 lim5
國安局	gwok3 on1 guk6
國安部	gwok3 on1 bou6
國定假日	gwok3 ding6 gaa3 jat6
國宴	gwok3 jin3
國家一級保護	gwok3 gaa1 jat1 kap1 bou2 wu6
國家主義	gwok3 gaa1 zyu2 ji6
國家互聯網信息辦公室	gwok3 gaa1 wu6 lyun4 mong5 seon3 sik1 baan6 gung1 sat1
國家代碼	gwok3 gaa1 doi6 maa5
國家公園	gwok3 gaa1 gung1 jyun2
國家利益	gwok3 gaa1 lei6 jik1
國家圖書館	gwok3 gaa1 tou4 syu1 gun2
國家地理雜誌	gwok3 gaa1 dei6 lei5 zaap6 zi3
國家地震局	gwok3 gaa1 dei6 zan3 guk6
國家外匯管理局	gwok3 gaa1 ngoi6 wui6 gun2 lei5 guk6
國家安全	gwok3 gaa1 on1 cyun4
國家安全局	gwok3 gaa1 on1 cyun4 guk6
國家安全部	gwok3 gaa1 on1 cyun4 bou6
國家廣播電影電視總局	gwok3 gaa1 gwong2 bo3 din6 jing2 din6 si6 zung2 guk6
國家政策	gwok3 gaa1 zing3 caak3
國家文物委員會	gwok3 gaa1 man4 mat6 wai2 jyun4 wui2
國家文物局	gwok3 gaa1 man4 mat6 guk6
國家文物鑒定委員會	gwok3 gaa1 man4 mat6 gaam3 ding6 wai2 jyun4 wui2
國家旅遊度假區	gwok3 gaa1 leoi5 jau4 dou6 gaa3 keoi1
國家標準	gwok3 gaa1 biu1 zeon2
國家標準中文交換碼	gwok3 gaa1 biu1 zeon2 zung1 man4 gaau1 wun6 maa5
國家標準化管理委員會	gwok3 gaa1 biu1 zeon2 faa3 gun2 lei5 wai2 jyun4 wui2
國家標準碼	gwok3 gaa1 biu1 zeon2 maa5
國家機器	gwok3 gaa1 gei1 hei3
國家機密	gwok3 gaa1 gei1 mat6
國家機構	gwok3 gaa1 gei1 kau3
國家機關	gwok3 gaa1 gei1 gwaan1
國家權力	gwok3 gaa1 kyun4 lik6
國家海洋局	gwok3 gaa1 hoi2 joeng4 guk6
國家漢辦	gwok3 gaa1 hon3 baan6
國家火山公園	gwok3 gaa1 fo2 saan1 gung1 jyun2
國家環保總局	gwok3 gaa1 waan4 bou2 zung2 guk6
國家留學基金管理委員會	gwok3 gaa1 lau4 hok6 gei1 gam1 gun2 lei5 wai2 jyun4 wui2
國家發展和改革委員會	gwok3 gaa1 faat3 zin2 wo4 goi2 gaak3 wai2 jyun4 wui2
國家發展改革委	gwok3 gaa1 faat3 zin2 goi2 gaak3 wai2
國家發展計劃委員會	gwok3 gaa1 faat3 zin2 gai3 waak6 wai2 jyun4 wui2
國家社會主義	gwok3 gaa1 se5 wui2 zyu2 ji6
國家級	gwok3 gaa1 kap1
國家統計局	gwok3 gaa1 tung2 gai3 guk6
國家經濟貿易委員會	gwok3 gaa1 ging1 zai3 mau6 jik6 wai2 jyun4 wui2
國家興亡匹夫有責	gwok3 gaa1 hing1 mong4 pat1 fu1 jau5 zaak3
國家航天局	gwok3 gaa1 hong4 tin1 guk6
國家航空公司	gwok3 gaa1 hong4 hung1 gung1 si1
國家計劃委員會	gwok3 gaa1 gai3 waak6 wai2 jyun4 wui2
國家計委	gwok3 gaa1 gai3 wai2
國家質量監督檢驗檢疫總局	gwok3 gaa1 zat1 loeng6 gaam1 duk1 gim2 jim6 gim2 jik6 zung2 guk6
國家軍品貿易局	gwok3 gaa1 gwan1 ban2 mau6 jik6 guk6
國家軍品貿易管理委員會	gwok3 gaa1 gwan1 ban2 mau6 jik6 gun2 lei5 wai2 jyun4 wui2
國家重點學科	gwok3 gaa1 zung6 dim2 hok6 fo1
國家重點實驗室	gwok3 gaa1 zung6 dim2 sat6 jim6 sat1
國家銀行	gwok3 gaa1 ngan4 hong4
國家開發銀行	gwok3 gaa1 hoi1 faat3 ngan4 hong4
國家電力監管委員會	gwok3 gaa1 din6 lik6 gaam1 gun2 wai2 jyun4 wui2
國家電網公司	gwok3 gaa1 din6 mong5 gung1 si1
國家預算	gwok3 gaa1 jyu6 syun3
國家食品藥品監督管理局	gwok3 gaa1 sik6 ban2 joek6 ban2 gaam1 duk1 gun2 lei5 guk6
國家體委	gwok3 gaa1 tai2 wai2
國富兵強	gwok3 fu3 bing1 koeng4
國富論	gwok3 fu3 leon6
國小	gwok3 siu2
國帑	gwok3 tong2
國師	gwok3 si1
國庫	gwok3 fu3
國庫券	gwok3 fu3 gyun3
國弱民窮	gwok3 joek6 man4 kung4
國恥	gwok3 ci2
國慶日	gwok3 hing3 jat6
國慶節	gwok3 hing3 zit3
國新辦	gwok3 san1 baan6
國族	gwok3 zuk6
國書	gwok3 syu1
國會大廈	gwok3 wui2 daai6 haa6
國會山	gwok3 wui2 saan1
國會議員	gwok3 wui6 ji5 jyun4
國會議長	gwok3 wui6 ji5 zoeng2
國有企業	gwok3 jau5 kei5 jip6
國有公司	gwok3 jau5 gung1 si1
國有化	gwok3 jau5 faa3
國有資產監督管理委員會	gwok3 jau5 zi1 caan2 gaam1 duk1 gun2 lei5 wai2 jyun4 wui2
國柄	gwok3 beng3
國格	gwok3 gaak3
國棋	gwok3 kei4
國槐	gwok3 waai4
國槐樹	gwok3 waai4 syu6
國標碼	gwok3 biu1 maa5
國標舞	gwok3 biu1 mou5
國殤	gwok3 soeng1
國民中學	gwok3 man4 zung1 hok6
國民大會	gwok3 man4 daai6 wui2
國民小學	gwok3 man4 siu2 hok6
國民收入	gwok3 man4 sau1 jap6
國民政府	gwok3 man4 zing3 fu2
國民生產	gwok3 man4 sang1 caan2
國民生產毛額	gwok3 man4 sang1 caan2 mou4 ngaak6
國民生產總值	gwok3 man4 sang1 caan2 zung2 zik6
國民經濟	gwok3 man4 ging1 zai3
國民警衛隊	gwok3 man4 ging2 wai6 deoi2
國民議會	gwok3 man4 ji5 wui2
國民革命軍	gwok3 man4 gaak3 ming6 gwan1
國民黨軍隊	gwok3 man4 dong2 gwan1 deoi2
國泰航空	gwok3 taai3 hong4 hung1
國泰航空公司	gwok3 taai3 hong4 hung1 gung1 si1
國營企業	gwok3 jing4 kei5 jip6
國營商業	gwok3 jing4 soeng1 jip6
國父紀念館	gwok3 fu6 gei2 nim6 gun2
國璽	gwok3 saai2
國產化	gwok3 caan2 faa3
國界	gwok3 gaai3
國界線	gwok3 gaai3 sin3
國破家亡	gwok3 po3 gaa1 mong4
國祚	gwok3 zou6
國立臺北科技大學	gwok3 laap6 toi4 bak1 fo1 gei6 daai6 hok6
國立臺灣大學	gwok3 laap6 toi4 waan1 daai6 hok6
國立臺灣技術大學	gwok3 laap6 toi4 waan1 gei6 seot6 daai6 hok6
國立西南聯合大學	gwok3 laap6 sai1 naam4 lyun4 hap6 daai6 hok6
國立顯忠院	gwok3 laap6 hin2 zung1 jyun2
國立首爾大學	gwok3 laap6 sau2 ji5 daai6 hok6
國策	gwok3 caak3
國罵	gwok3 maa6
國美電器	gwok3 mei5 din6 hei3
國腳	gwok3 goek3
國臺辦	gwok3 toi4 baan6
國舅	gwok3 kau5
國航	gwok3 hong4
國色	gwok3 sik1
國蠹	gwok3 dou3
國術	gwok3 seot6
國計民生	gwok3 gai3 man4 sang1
國語注音符號第一式	gwok3 jyu5 zyu3 jam1 fu4 hou6 dai6 jat1 sik1
國語羅馬字	gwok3 jyu5 lo4 maa5 zi6
國資委	gwok3 zi1 wai2
國賓	gwok3 ban1
國賓館	gwok3 ban1 gun2
國足	gwok3 zuk1
國醫	gwok3 ji1
國門	gwok3 mun4
國關	gwok3 gwaan1
國防利益	gwok3 fong4 lei6 jik1
國防工業	gwok3 fong4 gung1 jip6
國防現代化	gwok3 fong4 jin6 doi6 faa3
國防科學技術工業委員會	gwok3 fong4 fo1 hok6 gei6 seot6 gung1 jip6 wai2 jyun4 wui2
國防語言學院	gwok3 fong4 jyu5 jin4 hok6 jyun2
國防部長	gwok3 fong4 bou6 zoeng2
國防預算	gwok3 fong4 jyu6 syun3
國際主義	gwok3 zai3 zyu2 ji6
國際互聯網絡	gwok3 zai3 wu6 lyun4 mong5 lok6
國際先驅論壇報	gwok3 zai3 sin1 keoi1 leon6 taan4 bou3
國際兒童節	gwok3 zai3 ji4 tung4 zit3
國際公認	gwok3 zai3 gung1 jing6
國際共產主義運動	gwok3 zai3 gung6 caan2 zyu2 ji6 wan6 dung6
國際刑事警察組織	gwok3 zai3 jing4 si6 ging2 caat3 zou2 zik1
國際刑警組織	gwok3 zai3 jing4 ging2 zou2 zik1
國際勞動節	gwok3 zai3 lou4 dung6 zit3
國際勞工組織	gwok3 zai3 lou4 gung1 zou2 zik1
國際協會	gwok3 zai3 hip3 wui2
國際原子能機構	gwok3 zai3 jyun4 zi2 nang4 gei1 kau3
國際和平基金會	gwok3 zai3 wo4 ping4 gei1 gam1 wui2
國際商會	gwok3 zai3 soeng1 wui2
國際商業機器	gwok3 zai3 soeng1 jip6 gei1 hei3
國際單位	gwok3 zai3 daan1 wai2
國際單位制	gwok3 zai3 daan1 wai2 zai3
國際外交	gwok3 zai3 ngoi6 gaau1
國際大赦	gwok3 zai3 daai6 se3
國際太空站	gwok3 zai3 taai3 hung1 zaam6
國際奧委會	gwok3 zai3 ou3 wai2 wui2
國際奧林匹克委員會	gwok3 zai3 ou3 lam4 pat1 hak1 wai2 jyun4 wui2
國際婦女節	gwok3 zai3 fu5 neoi5 zit3
國際媒體	gwok3 zai3 mui4 tai2
國際市場	gwok3 zai3 si5 coeng4
國際性	gwok3 zai3 sing3
國際戰爭罪法庭	gwok3 zai3 zin3 zang1 zeoi6 faat3 ting4
國際換日線	gwok3 zai3 wun6 jat6 sin3
國際收支	gwok3 zai3 sau1 zi1
國際數學聯盟	gwok3 zai3 sou3 hok6 lyun4 mang4
國際文傳通訊社	gwok3 zai3 man4 cyun4 tung1 seon3 se5
國際文傳電訊社	gwok3 zai3 man4 cyun4 din6 seon3 se5
國際日期變更線	gwok3 zai3 jat6 kei4 bin3 gang1 sin3
國際棋聯	gwok3 zai3 kei4 lyun4
國際標準化組織	gwok3 zai3 biu1 zeon2 faa3 zou2 zik1
國際歌	gwok3 zai3 go1
國際民航組織	gwok3 zai3 man4 hong4 zou2 zik1
國際民間組織	gwok3 zai3 man4 gaan1 zou2 zik1
國際水平	gwok3 zai3 seoi2 ping4
國際法院	gwok3 zai3 faat3 jyun2
國際海事組織	gwok3 zai3 hoi2 si6 zou2 zik1
國際清算銀行	gwok3 zai3 cing1 syun3 ngan4 hong4
國際特赦	gwok3 zai3 dak6 se3
國際特赦組織	gwok3 zai3 dak6 se3 zou2 zik1
國際田徑聯合會	gwok3 zai3 tin4 ging3 lyun4 hap6 wui2
國際田聯	gwok3 zai3 tin4 lyun4
國際私法	gwok3 zai3 si1 faat3
國際筆會	gwok3 zai3 bat1 wui2
國際米蘭	gwok3 zai3 mai5 laan4
國際米蘭足球俱樂部	gwok3 zai3 mai5 laan4 zuk1 kau4 keoi1 lok6 bou6
國際米蘭隊	gwok3 zai3 mai5 laan4 deoi2
國際組織	gwok3 zai3 zou2 zik1
國際經濟	gwok3 zai3 ging1 zai3
國際網絡	gwok3 zai3 mong5 lok6
國際羽毛球聯合會	gwok3 zai3 jyu5 mou4 kau4 lyun4 hap6 wui2
國際聯盟	gwok3 zai3 lyun4 mang4
國際腫瘤研究機構	gwok3 zai3 zung2 lau4 jin4 gau3 gei1 kau3
國際臺	gwok3 zai3 toi4
國際航空聯合會	gwok3 zai3 hong4 hung1 lyun4 hap6 wui2
國際航空運輸協會	gwok3 zai3 hong4 hung1 wan6 syu1 hip3 wui2
國際象棋	gwok3 zai3 zoeng6 kei2
國際貨幣基金	gwok3 zai3 fo3 bai6 gei1 gam1
國際貨幣基金會	gwok3 zai3 fo3 bai6 gei1 gam1 wui2
國際貨幣基金組織	gwok3 zai3 fo3 bai6 gei1 gam1 zou2 zik1
國際貨運代理	gwok3 zai3 fo3 wan6 doi6 lei5
國際貿易	gwok3 zai3 mau6 jik6
國際足球聯合會	gwok3 zai3 zuk1 kau4 lyun4 hap6 wui2
國際足聯	gwok3 zai3 zuk1 lyun4
國際跳棋	gwok3 zai3 tiu3 kei2
國際醫療中心	gwok3 zai3 ji1 liu4 zung1 sam1
國際金融公司	gwok3 zai3 gam1 jung4 gung1 si1
國際關係	gwok3 zai3 gwaan1 hai6
國際關係學院	gwok3 zai3 gwaan1 hai6 hok6 jyun2
國際電信聯盟	gwok3 zai3 din6 seon3 lyun4 mang4
國際電報電話咨詢委員會	gwok3 zai3 din6 bou3 din6 waa2 zi1 seon1 wai2 jyun4 wui2
國際音標	gwok3 zai3 jam1 biu1
國際體操聯合會	gwok3 zai3 tai2 cou1 lyun4 hap6 wui2
國難	gwok3 naan6
國魂	gwok3 wan4
圍嘴	wai4 zeoi2
圍困	wai4 kwan3
圍坐	wai4 zo6
圍城打援	wai4 sing4 daa2 wun4
圍堰	wai4 jin2
圍場	wai4 coeng4
圍場滿族蒙古族自治縣	wai4 coeng4 mun5 zuk6 mung4 gu2 zuk6 zi6 zi6 jyun6
圍場縣	wai4 coeng4 jyun6
圍堵	wai4 dou2
圍墾	wai4 han2
圍屏	wai4 ping4
圍擊	wai4 gik1
圍攏	wai4 lung5
圍產	wai4 caan2
圍籬	wai4 lei4
圍網	wai4 mong5
圍脖	wai4 but6
圍護	wai4 wu6
圍起	wai4 hei2
圍魏救趙	wai4 ngai6 gau3 ziu6
圐圙	ku1 loek6
園區	jyun4 keoi1
園囿	jyun4 jau6
園圃	jyun4 pou2
園子	jyun4 zi2
圓光	jyun4 gwong1
圓函數	jyun4 haam4 sou3
圓口綱脊椎動物	jyun4 hau2 gong1 zek3 zeoi1 dung6 mat6
圓夢	jyun4 mung6
圓子	jyun4 zi2
圓孔	jyun4 hung2
圓屋頂	jyun4 uk1 deng2
圓弧	jyun4 wu4
圓形木材	jyun4 jing4 muk6 coi4
圓形麵包	jyun4 jing4 min6 baau1
圓心	jyun4 sam1
圓房	jyun4 fong4
圓括號	jyun4 kut3 hou6
圓拱	jyun4 gung2
圓揼揼	jyun4 dam1 dam1
圓揼朵	jyun4 dam4 doe2
圓方	jyun4 fong1
圓月	jyun4 jyut6
圓柱	jyun4 cyu5
圓柱形	jyun4 cyu5 jing4
圓柱體	jyun4 cyu5 tai2
圓桌	jyun4 coek3
圓桌會議	jyun4 coek3 wui6 ji5
圓滾滾	jyun4 gwan2 gwan2
圓玄學院	jyun4 jyun4 hok6 jyun2
圓珠	jyun4 zyu1
圓珠形離子交換劑	jyun4 zyu1 jing4 lei4 zi2 gaau1 wun6 zai1
圓珠筆	jyun4 zyu1 bat1
圓球	jyun4 kau4
圓瑛	jyun4 jing1
圓環	jyun4 waan4
圓白菜	jyun4 baak6 coi3
圓盤	jyun4 pun4
圓石頭	jyun4 sek6 tau4
圓碌碌	jyun4 luk1 luk1
圓筒	jyun4 tung2
圓肉	jyun4 juk6
圓腹鯡	jyun4 fuk1 fei1
圓舞	jyun4 mou5
圓舞曲	jyun4 mou5 kuk1
圓規座	jyun4 kwai1 zo6
圓謊	jyun4 fong1
圓蹄	jyun4 tai4
圓軌道	jyun4 gwai2 dou6
圓軲轆	jyun4 gu1 luk1
圓錐形	jyun4 zeoi1 jing4
圓錐曲線	jyun4 zeoi1 kuk1 sin3
圓錐狀	jyun4 zeoi1 zong6
圓鑿方枘	jyun4 zok6 fong1 jeoi6
圓面積	jyun4 min6 zik1
圓領	jyun4 leng5
圓顱方趾	jyun4 lou4 fong1 zi2
圓麵餅	jyun4 min6 beng2
圓點	jyun4 dim2
圓鼓鼓	jyun4 gu2 gu2
圖們	tou4 mun4
圖們市	tou4 mun4 si5
圖們江	tou4 mun4 gong1
圖像	tou4 zoeng6
圖像互換格式	tou4 zoeng6 wu6 wun6 gaak3 sik1
圖像用戶介面	tou4 zoeng6 jung6 wu6 gaai3 min6
圖像處理	tou4 zoeng6 cyu2 lei5
圖則	tou4 zak1
圖坦卡門	tou4 taan2 kaa1 mun4
圖報	tou4 bou3
圖層	tou4 cang4
圖形卡	tou4 jing4 kaat1
圖形用戶界面	tou4 jing4 jung6 wu6 gaai3 min6
圖形界面	tou4 jing4 gaai3 min6
圖恩	tou4 jan1
圖文	tou4 man4
圖文並茂	tou4 man4 bing3 mau6
圖景	tou4 ging2
圖書管理員	tou4 syu1 gun2 lei5 jyun4
圖書館員	tou4 syu1 gun2 jyun4
圖木舒克	tou4 muk6 syu1 hak1
圖木舒克市	tou4 muk6 syu1 hak1 si5
圖林根	tou4 lam4 gan1
圖標	tou4 biu1
圖樣	tou4 joeng2
圖波列夫	tou4 bo1 lit6 fu1
圖爾	tou4 ji5
圖爾庫	tou4 ji5 fu3
圖片報	tou4 pin2 bou3
圖版	tou4 baan2
圖瓦盧	tou4 ngaa5 lou4
圖盧斯	tou4 lou4 si1
圖盧茲	tou4 lou4 zi1
圖簽	tou4 cim1
圖紙	tou4 zi2
圖西族	tou4 sai1 zuk6
圖解	tou4 gaai2
圖解說明	tou4 gaai2 syut3 ming4
圖譜	tou4 pou2
圖象	tou4 zoeng6
圖財害命	tou4 coi4 hoi6 ming6
圖軸	tou4 zuk6
圖輯	tou4 cap1
圖釘	tou4 deng1
圖錄	tou4 luk6
圖鑒	tou4 gaam3
圖門江	tou4 mun4 gong1
圖阿雷格	tou4 aa3 leoi4 gaak3
圖集	tou4 zaap6
圖雷特氏綜合症	tou4 leoi4 dak6 si6 zung3 hap6 zing3
圖靈	tou4 ling4
圖靈機	tou4 ling4 gei1
圖靈獎	tou4 ling4 zoeng2
團丁	tyun4 ding1
團伙	tyun4 fo2
團圓飯	tyun4 jyun4 faan6
團團	tyun4 tyun4
團團轉	tyun4 tyun4 zyun3
團契	tyun4 kai3
團扇	tyun4 sin3
團結就是力量	tyun4 git3 zau6 si6 lik6 loeng6
團結工會	tyun4 git3 gung1 wui2
團練	tyun4 lin6
團花	tyun4 faa1
團費	tyun4 fai3
團購	tyun4 gau3
團隊精神	tyun4 deoi2 zing1 san4
團風	tyun4 fung1
團風縣	tyun4 fung1 jyun6
